"""Login with Amazon"" button color","""Login with Amazon"" button colour"
"""Login with Amazon"" button size","""Login with Amazon"" button size"
"""Login with Amazon"" button type","""Login with Amazon"" button type"
"""Pay with Amazon"" button color","""Pay with Amazon"" button colour"
"""Pay with Amazon"" button size","""Pay with Amazon"" button size"
"""Pay with Amazon"" button type","""Pay with Amazon"" button type"
"* Required Fields","* Required Fields"
"--- Select object ---","--- Select object ---"
"--- Select reason code ---","--- Select reason code ---"
"--- Select state to simulate ---","--- Select state to simulate ---"
"-OR-","-OR-"
"1 day","1 day"
"1 hour","1 hour"
"2 days","2 days"
"2 hours","2 hours"
"3 days","3 days"
"4 hours","4 hours"
"5 minutes","5 minutes"
"7 days","7 days"
"8 hours","8 hours"
"10 minutes","10 minutes"
"12 hours","12 hours"
"14 days","14 days"
"15 days","15 days"
"15 minutes","15 minutes"
"30 days","30 days"
"30 minutes","30 minutes"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details."
"<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee."
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","A capture of %s has been processed by Amazon Payments (%s). The new status is %s."
"A capture request for %s has been submitted to Amazon Payments.","A capture request for %s has been submitted to Amazon Payments."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","A refund of %s has been processed by Amazon Payments (%s). The new status is %s."
"A refund request for %s has been submitted to Amazon Payments.","A refund request for %s has been submitted to Amazon Payments."
"Access Key ID","Access Key ID"
"Action","Action"
"Add New","Add New"
"Address widget height","Address widget height"
"Address widget width","Address widget width"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Amazon Cronjobs","Amazon Cronjobs"
"Amazon Payments Account","Amazon Payments Account"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","An authorization of %s has been processed by Amazon Payments (%s). The new status is %s."
"An authorize request for %s has been submitted to Amazon Payments.","An authorize request for %s has been submitted to Amazon Payments."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","An order of %s has been processed by Amazon Payments (%s). The new status is %s."
"An order of %s has been sent to Amazon Payments.","An order of %s has been sent to Amazon Payments."
"Appearance Settings","Appearance Settings"
"Appearance Settings for Login and Pay with Amazon","Appearance Settings for Login and Pay with Amazon"
"Appearance Settings for standalone Pay with Amazon","Appearance Settings for standalone Pay with Amazon"
"Authorize","Authorize"
"Authorize & capture","Authorize & capture"
"Back","Back"
"By selecting Amazon Payments, you will be asked to sign-in securely to your Amazon account without leaving the shop.","By selecting Amazon Payments, you will be asked to sign-in securely to your Amazon account without leaving the shop."
"Client ID","Client ID"
"Common Appearance Settings","Common Appearance Settings"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Congratulations! Your Amazon Payments account settings seem to be OK."
"creativestyle Extensions","creativestyle Extensions"
"Dark gray","Dark grey"
"Data polling frequency","Data polling frequency"
"Date","Date"
"Debug data","Debug data"
"Declined Payment Email Sender","Declined Payment Email Sender"
"Declined Payment Email Template","Declined Payment Email Template"
"Developer Options","Developer Options"
"Download as CSV","Download as CSV"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Each logfile will be rotated when it exceeds size of 8 Megabytes"
"Email Options","Email Options"
"Enable Instant Payment Notifications","Enable Instant Payment Notifications"
"Enable logging","Enable logging"
"Enable Login with Amazon","Enable Login with Amazon"
"Enable Pay with Amazon","Enable Pay with Amazon"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400."
"Enter a value between 228 and 400 pixels","Enter a value between 228 and 400 pixels"
"ERP mode","ERP mode"
"Event Observers","Event Observers"
"Exception code","Exception code"
"Exception message","Exception message"
"General Info","General Info"
"General Settings","General Settings"
"Germany","Germany"
"Gold","Gold"
"http://www.creativestyle.net","http://www.creativestyle.net"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"In Sandbox Mode you can simulate certain states of selected payment objects.","In Sandbox Mode you can simulate certain states of selected payment objects."
"Installed Magento extensions","Installed Magento extensions"
"Installed PHP modules","Installed PHP modules"
"Invalid password","Invalid password"
"IPN endpoint URL","IPN endpoint URL"
"IPN Notifications","IPN Notifications"
"Large","Large"
"Large (151 x 27 pixels)","Large (151 x 27 pixels)"
"Leave empty for access from any location","Leave empty for access from any location"
"Light gray","Light grey"
"Login and Pay with Amazon","Login and Pay with Amazon"
